ZIP3,Lat,Lon
757,32.31429944,-95.37310732
758,31.47555856,-95.65959099
759,31.38995588,-94.45899538
760,32.73050241,-97.21853609
761,32.75632185,-97.27152935
762,33.18522749,-97.19270953
763,33.87712911,-98.61578776
764,32.5845375,-98.37456125
765,31.11096525,-97.56571631
766,31.71480203,-97.07859239
767,31.54466783,-97.13625581
768,31.43000114,-99.18056932
769,31.3977337,-100.5183272
770,29.77049836,-95.41519724
772,29.79967922,-95.45775584
773,30.10919119,-95.40537507
774,29.65952597,-95.6856005
775,29.59683964,-95.17402526
776,30.08017757,-94.03078037
777,30.08061268,-94.14762066
778,30.61895296,-96.32914321
779,28.95893886,-96.96806398
780,28.6196527,-99.0453514
781,29.37374107,-98.12762857
782,29.45314256,-98.4975328
783,27.7956176,-97.69328798
784,27.79343056,-97.40561199
785,26.1934576,-97.9558109
786,30.25780345,-97.8273734
787,30.30363295,-97.74164957
788,29.16311083,-100.0306825
789,29.92089344,-96.84787131
790,35.26688777,-101.6259036
791,35.16737006,-101.8167634
792,34.27433016,-100.5808333
793,33.48105046,-102.1159028
794,33.57770816,-101.8659727
795,32.68512647,-100.2627137
796,32.44478868,-99.73640189
797,31.91606047,-102.2252385
798,31.17464138,-105.3606966
799,31.7656623,-106.4485636
800,39.74485394,-104.9808302
801,39.64477796,-104.9813544
802,39.73627057,-104.9979484
803,39.73803378,-105.0316401
804,39.79542842,-105.5822478
805,40.38968207,-105.0863883
806,40.23774351,-104.747136
807,40.385325,-103.2727469
808,39.08281453,-103.906065
809,38.85287251,-104.799162
810,38.11337778,-104.1576306
811,37.45488602,-106.3365204
812,38.50298,-106.0065733
813,37.33919737,-108.1590553
814,38.3686625,-107.9244188
815,39.07391085,-108.5382101
816,39.64786833,-107.1934217
820,41.2043562,-104.8375212
821,44.615925,-110.688375
822,42.25691707,-104.4828512
823,41.62845172,-107.156769
824,44.44188545,-108.5115073
825,42.97031875,-108.575025
826,42.86746525,-106.329122
827,44.21177358,-104.9972717
828,44.68892432,-106.8533054
829,41.68099508,-109.9486689
830,43.51857143,-110.7408607
831,42.47064419,-110.7402907
832,42.89443054,-112.4368826
833,42.78957806,-114.2452619
834,43.70592611,-112.0616383
835,46.26556875,-116.5292313
836,43.7288323,-116.3854156
837,43.61258508,-116.2310588
838,47.61674601,-116.6744333
840,40.67013187,-111.7536007
841,40.73951069,-111.8893784
843,41.65471736,-111.9732493
844,41.17161953,-111.9577553
845,38.81124098,-110.4007082
846,40.06320569,-111.7190128
847,37.60797488,-113.0020678
850,33.50801087,-112.0594348
851,32.87289,-111.74493
852,33.44442858,-111.9197627
853,33.49500482,-112.4999184
855,33.42011803,-110.4939377
856,31.75364359,-110.5073962
857,32.27017437,-110.9790432
859,34.19740179,-109.9840321
860,35.43649308,-111.4090092
863,34.58390667,-112.213077
864,34.97431354,-114.258651
865,35.79852,-109.4734943
870,35.08857203,-106.7835958
871,35.08446529,-106.642586
873,35.47991136,-108.6006841
874,36.69554412,-108.2394676
875,35.75610368,-105.9917384
877,35.8832,-105.972775
878,40.590752,-77.209755
879,35.0808,-106.6478
880,35.00632778,-107.0991889
881,35.48986667,-106.4290556
882,35.31424286,-107.1822286
883,35.9602,-106.9588333
884,36.7322,-108.2101
890,36.23535634,-115.2332205
891,36.14194742,-115.1464052
893,39.25003542,-115.2364167
894,39.52802348,-119.2292659
895,39.50761301,-119.7746952
897,39.20946477,-119.7804102
898,40.89796167,-115.7582833
900,34.04951999,-118.2957382
902,33.94952193,-118.3121915
903,33.95547619,-118.3359107
904,34.01595545,-118.4320422
905,33.87717155,-118.3273979
906,33.91033966,-118.035996
907,33.8487264,-118.1887304
908,33.81303047,-118.1708499
910,34.13971991,-118.1183264
911,34.13562288,-118.1470573
912,34.15188364,-118.2760927
913,34.23029986,-118.5750709
914,34.15413978,-118.4363047
915,34.17568178,-118.3261838
916,34.16065021,-118.3918357
917,34.07218601,-117.8589428
918,34.09157959,-118.1369806
919,32.72455083,-117.026126
920,33.03817308,-117.1549308
921,32.80332038,-117.1555752
922,33.60566711,-116.1737621
923,34.28362441,-117.2862469
924,34.11847489,-117.3205191
925,33.84241649,-117.2822938
926,33.67220698,-117.8229894
927,33.74051139,-117.8754184
928,33.81844313,-117.8767371
930,34.27097378,-119.1190524
931,34.42816751,-119.6947102
932,36.03715812,-119.2986755
933,35.36057898,-119.0208952
934,35.18694703,-120.5499289
935,35.05487825,-118.1865568
936,36.80008571,-119.7737058
937,36.75942982,-119.7877985
939,36.63330227,-121.6927892
940,37.47691148,-122.189659
941,37.76219923,-122.3946011
943,37.42737993,-122.1286039
944,37.54007373,-122.2954237
945,37.84587461,-122.0596776
946,37.79860639,-122.2548117
947,37.84141388,-122.2695947
948,37.89559344,-122.2934959
949,38.00169848,-122.5495902
950,37.18211184,-121.8986246
951,37.33080493,-121.8869819
952,38.01704024,-121.2173024
953,37.62326876,-120.8772632
954,38.61212023,-122.851428
955,40.66282252,-123.9543576
956,38.62058326,-121.3717498
957,38.67373467,-121.2380987
958,38.57836643,-121.437606
959,39.43083598,-121.5715556
960,40.74394506,-122.3227024
961,39.65372482,-120.3429794
967,20.6667741,-157.292398
968,21.31627119,-157.8587712
970,45.47366175,-122.5845272
971,45.5050069,-123.1825698
972,45.527154,-122.6820627
973,44.83833408,-123.1232028
974,43.79203105,-123.2901347
975,42.3858199,-122.935425
976,42.31514857,-121.5340757
977,44.02201986,-121.0295383
978,45.32737754,-118.5658833
979,43.89181429,-117.2455071
980,47.56846941,-122.218759
